"Attribute1","Attribute2","Attribute3","k","Accuracy","Sensitivity","Specificity"
"isJL1","SO30","ScaleYearsWithCurrManager",8,84.183908045977,95.9452054794521,22.8571428571428
"isJL1","SO30","ScaleYearsWithCurrManager",9,84.2264367816092,95.9958904109589,22.8571428571428
"isJL1","SO30","ScaleYearsWithCurrManager",10,84.1701149425287,95.9287671232877,22.8571428571428
"isJL1","SO30","ScaleYearsWithCurrManager",11,84.183908045977,95.9452054794521,22.8571428571428
"isJL1","SO30","ScaleYearsWithCurrManager",12,84.1931034482759,95.9561643835616,22.8571428571428
"isJL1","SO30","ScaleYearsWithCurrManager",13,84.1908045977012,95.9534246575342,22.8571428571428
"isJL1","SO30","ScaleYearsWithCurrManager",14,84.219540229885,95.9876712328767,22.8571428571428
"isJL1","SO30","ScaleYearsWithCurrManager",15,84.1758620689655,95.9356164383562,22.8571428571428
"isJL1","SO30","ScaleYearsWithCurrManager",16,84.1758620689656,95.9356164383562,22.8571428571428
"isJL1","SO30","ScaleYearsWithCurrManager",17,84.7126436781608,96.5753424657535,22.8571428571428
"isJL1","SO30","ScaleYearsWithCurrManager",18,84.7126436781608,96.5753424657535,22.8571428571428
"isJL1","SO30","ScaleYearsWithCurrManager",19,84.7126436781608,96.5753424657535,22.8571428571428
"isJL1","SO30","ScaleYearsWithCurrManager",20,84.7126436781608,96.5753424657535,22.8571428571428
"isJL1","SO30","ScaleYearsWithCurrManager",21,84.7126436781608,96.5753424657535,22.8571428571428
"isJL1","SO30","ScaleYearsWithCurrManager",22,84.7126436781608,96.5753424657535,22.8571428571428
"isJL1","SO30","ScaleYearsWithCurrManager",23,84.7126436781608,96.5753424657535,22.8571428571428
"isJL1","SO30","ScaleYearsWithCurrManager",24,84.7126436781608,96.5753424657535,22.8571428571428
"isJL1","SO30","ScaleYearsWithCurrManager",25,84.7126436781608,96.5753424657535,22.8571428571428
"isJL1","SO30","ScaleYearsWithCurrManager",26,84.7126436781608,96.5753424657535,22.8571428571428
"isJL1","SO30","ScaleYearsWithCurrManager",27,84.7126436781608,96.5753424657535,22.8571428571428
"isJL1","SO30","ScaleYearsWithCurrManager",28,84.7126436781608,96.5753424657535,22.8571428571428
"isJL1","SO30","ScaleYearsWithCurrManager",29,84.7126436781608,96.5753424657535,22.8571428571428
"isJL1","SO30","ScaleYearsWithCurrManager",30,84.7126436781608,96.5753424657535,22.8571428571428
"isJL1","isTWY03","ScaleYearsWithCurrManager",5,82.2908045977011,95.8904109589042,11.3785714285714
"isJL1","isTWY03","ScaleYearsWithCurrManager",6,82.2310344827587,95.8904109589042,11.0071428571429
"isJL1","isTWY03","ScaleYearsWithCurrManager",7,82.2712643678161,95.8904109589042,11.2571428571429
"isJL1","isTWY03","ScaleYearsWithCurrManager",8,82.2597701149425,95.8904109589042,11.1857142857143
"isJL1","isTWY03","ScaleYearsWithCurrManager",9,82.2563218390805,95.8904109589042,11.1642857142857
"isJL1","isTWY03","ScaleYearsWithCurrManager",10,82.2287356321839,95.8904109589042,10.9928571428571
"isJL1","isTWY03","ScaleYearsWithCurrManager",11,82.2724137931035,95.8904109589042,11.2642857142857
"isJL1","isTWY03","ScaleYearsWithCurrManager",12,82.2172413793104,95.8904109589042,10.9214285714286
"isJL1","isTWY03","ScaleYearsWithCurrManager",13,82.2390804597701,95.8904109589042,11.0571428571429
"isJL1","isTWY03","ScaleYearsWithCurrManager",14,82.1701149425288,95.8904109589042,10.6285714285714
"isJL1","isTWY03","ScaleYearsWithCurrManager",15,82.2172413793104,95.8904109589042,10.9214285714286
"isJL1","isTWY03","ScaleYearsWithCurrManager",16,82.2747126436782,95.8904109589042,11.2785714285714
"isJL1","isTWY03","ScaleYearsWithCurrManager",17,82.2977011494253,95.8904109589042,11.4214285714286
"isJL1","isTWY03","ScaleYearsWithCurrManager",18,82.2425287356322,95.8904109589042,11.0785714285714
"isJL1","isTWY03","ScaleYearsWithCurrManager",19,82.2195402298851,95.8904109589042,10.9357142857143
"isJL1","isTWY03","ScaleYearsWithCurrManager",20,82.2643678160919,95.8904109589042,11.2142857142857
